"","DR_NO","Date Rptd","DATE OCC","TIME OCC","AREA","AREA NAME","Rpt Dist No","Part 1-2","Crm Cd","Crm Cd Desc","Vict Age","Status Desc","LOCATION","LAT","LON"
"212","191900559","02/15/2019 12:00:00 AM",2019-02-15 12:00:00,"0050","19","Mission","1988",2,753,"DISCHARGE FIREARMS/SHOTS FIRED",81,"Invest Cont","9000    MERCEDES                     AV",34.2323,-118.4205
"213","191817198","08/05/2019 12:00:00 AM",2019-08-05 12:00:00,"0300","18","Southeast","1834",2,753,"DISCHARGE FIREARMS/SHOTS FIRED",0,"Invest Cont","800 E  106TH                        ST",33.9401,-118.2608
"214","190306002","01/31/2019 12:00:00 AM",2019-01-31 12:00:00,"1900","03","Southwest","0396",2,753,"DISCHARGE FIREARMS/SHOTS FIRED",18,"Invest Cont","800 W  40TH                         PL",34.0101,-118.2872
"215","191316219","08/05/2019 12:00:00 AM",2019-08-05 12:00:00,"1325","13","Newton","1353",2,753,"DISCHARGE FIREARMS/SHOTS FIRED",0,"Invest Cont","VERNON                       AV",34.0039,-118.2652
"216","191316295","08/06/2019 12:00:00 AM",2019-08-06 12:00:00,"1935","13","Newton","1343",2,753,"DISCHARGE FIREARMS/SHOTS FIRED",0,"Invest Cont","1000 E  MARTIN LUTHER KING JR        BL",34.011,-118.2582
"217","190509038","04/26/2019 12:00:00 AM",2019-04-26 12:00:00,"2130","05","Harbor","0558",2,753,"DISCHARGE FIREARMS/SHOTS FIRED",0,"Invest Cont","200 W  OFARRELL                     ST",33.746,-118.2817
"218","190300887","08/01/2019 12:00:00 AM",2019-07-24 12:00:00,"1700","03","Southwest","0379",2,753,"DISCHARGE FIREARMS/SHOTS FIRED",18,"Invest Cont","3900 S  VERMONT                      AV",34.0145,-118.2937
"219","190100942","10/16/2019 12:00:00 AM",2019-10-16 12:00:00,"1700","01","Central","0111",2,753,"DISCHARGE FIREARMS/SHOTS FIRED",0,"Invest Cont","500 N  FIGUEROA                     ST",34.0617,-118.2469
"220","191611906","07/25/2019 12:00:00 AM",2019-07-25 12:00:00,"1530","16","Foothill","1675",2,753,"DISCHARGE FIREARMS/SHOTS FIRED",32,"Invest Cont","9000    NORRIS                       AV",34.2323,-118.3759
"221","192004002","01/01/2019 12:00:00 AM",2019-01-01 12:00:00,"0010","20","Olympic","2033",2,753,"DISCHARGE FIREARMS/SHOTS FIRED",0,"Invest Cont","800 S  OXFORD                       AV",34.0577,-118.3078
"222","190108971","03/13/2019 12:00:00 AM",2019-03-13 12:00:00,"2135","01","Central","0185",2,753,"DISCHARGE FIREARMS/SHOTS FIRED",0,"Invest Cont","1100 S  MAIN                         ST",34.0391,-118.2581
"223","190513719","08/07/2019 12:00:00 AM",2019-08-07 12:00:00,"2120","05","Harbor","0585",2,753,"DISCHARGE FIREARMS/SHOTS FIRED",0,"Invest Cont","2100 S  PACIFIC                      AV",33.7243,-118.2963
"224","191607908","04/14/2019 12:00:00 AM",2019-04-14 12:00:00,"2125","16","Foothill","1601",2,753,"DISCHARGE FIREARMS/SHOTS FIRED",0,"Invest Cont","13200    CORCORAN                     ST",34.2857,-118.4205
"225","191416191","07/02/2019 12:00:00 AM",2019-07-01 12:00:00,"0600","14","Pacific","1455",2,753,"DISCHARGE FIREARMS/SHOTS FIRED",31,"Invest Cont","4100 S  CENTINELA                    AV",33.9885,-118.4237
"226","191711391","06/14/2019 12:00:00 AM",2019-06-14 12:00:00,"1300","17","Devonshire","1735",2,753,"DISCHARGE FIREARMS/SHOTS FIRED",0,"Invest Cont","CELTIC                       ST",34.2693,-118.5099
"227","191219908","08/07/2019 12:00:00 AM",2019-08-07 12:00:00,"0100","12","77th Street","1267",2,753,"DISCHARGE FIREARMS/SHOTS FIRED",47,"Adult Other","OLIVE",33.9601,-118.2793
"228","191222904","09/17/2019 12:00:00 AM",2019-09-17 12:00:00,"0440","12","77th Street","1239",2,753,"DISCHARGE FIREARMS/SHOTS FIRED",60,"Adult Other","5900    BONSALLO                     AV",33.9874,-118.2859
"229","190306933","02/15/2019 12:00:00 AM",2019-02-15 12:00:00,"2115","03","Southwest","0375",2,753,"DISCHARGE FIREARMS/SHOTS FIRED",18,"Invest Cont","39TH                         ST",34.0147,-118.3111
"230","191800661","06/15/2019 12:00:00 AM",2019-06-15 12:00:00,"1900","18","Southeast","1801",2,753,"DISCHARGE FIREARMS/SHOTS FIRED",29,"Invest Cont","8600 S  FIGUEROA                     ST",33.9555,-118.2871
"231","190320942","09/17/2019 12:00:00 AM",2019-09-17 12:00:00,"2009","03","Southwest","0353",2,753,"DISCHARGE FIREARMS/SHOTS FIRED",18,"Invest Cont","3500    CHESAPEAKE                   AV",34.0238,-118.3452
"232","190500815","07/04/2019 12:00:00 AM",2019-07-04 12:00:00,"1910","05","Harbor","0514",2,753,"DISCHARGE FIREARMS/SHOTS FIRED",0,"Invest Cont","1200 W  YOUNG                        ST",33.785,-118.2779
"233","190500795","06/19/2019 12:00:00 AM",2019-06-19 12:00:00,"2130","05","Harbor","0507",2,753,"DISCHARGE FIREARMS/SHOTS FIRED",0,"Invest Cont","227TH",33.8202,-118.3089
"234","190300578","02/26/2019 12:00:00 AM",2019-02-26 12:00:00,"1405","03","Southwest","0332",2,753,"DISCHARGE FIREARMS/SHOTS FIRED",18,"Invest Cont","2900    HILLCREST                    DR",34.0294,-118.3429
"235","191512794","06/20/2019 12:00:00 AM",2019-06-20 12:00:00,"0108","15","N Hollywood","1531",2,753,"DISCHARGE FIREARMS/SHOTS FIRED",17,"Invest Cont","12600    OXNARD                       ST",34.1794,-118.4073
"236","191223541","09/24/2019 12:00:00 AM",2019-09-24 12:00:00,"2000","12","77th Street","1265",2,753,"DISCHARGE FIREARMS/SHOTS FIRED",0,"Invest Cont","1500 W  84TH                         PL",33.9618,-118.3025
"237","190907545","03/12/2019 12:00:00 AM",2019-03-12 12:00:00,"0710","09","Van Nuys","0911",2,753,"DISCHARGE FIREARMS/SHOTS FIRED",32,"Invest Cont","6800    SEPULVEDA                    BL",34.1938,-118.4702
"238","190908567","03/31/2019 12:00:00 AM",2019-03-30 12:00:00,"2210","09","Van Nuys","0933",2,753,"DISCHARGE FIREARMS/SHOTS FIRED",0,"Invest Cont","DELANO                       ST",34.1827,-118.4531
"239","190300960","09/08/2019 12:00:00 AM",2019-09-08 12:00:00,"1405","03","Southwest","0397",2,753,"DISCHARGE FIREARMS/SHOTS FIRED",18,"Invest Cont","43RD                         ST",34.0055,-118.3002
"240","190904549","01/12/2019 12:00:00 AM",2019-01-12 12:00:00,"0200","09","Van Nuys","0989",2,753,"DISCHARGE FIREARMS/SHOTS FIRED",35,"Invest Cont","4300    ALLOTT                       AV",34.1475,-118.428
"241","191014286","08/31/2019 12:00:00 AM",2019-08-31 12:00:00,"0457","10","West Valley","1015",2,753,"DISCHARGE FIREARMS/SHOTS FIRED",0,"Invest Cont","7500    ETIWANDA                     AV",34.2066,-118.5317
