"","ID","Case Number","Date","Block","IUCR","Primary Type","Description","Location Description","Arrest","Domestic","Beat","Ward","FBI Code","X Coordinate","Y Coordinate","Year","Updated On","Latitude","Longitude","Location"
"61",12778243,"JF337987",2022-07-30 09:00:00,"116XX S PEORIA ST","041A","BATTERY","AGGRAVATED - HANDGUN","STREET",FALSE,FALSE,"0524",34,"04B",1172415,1827506,2022,"11/12/2022 03:46:21 PM",41.682112559,-87.644493366,"(41.682112559, -87.644493366)"
"62",12775636,"JF334909",2022-07-28 02:06:00,"028XX E 80TH ST","041A","BATTERY","AGGRAVATED - HANDGUN","SIDEWALK",FALSE,FALSE,"0422",7,"04B",1196661,1852476,2022,"11/12/2022 03:46:21 PM",41.750066278,-87.554913938,"(41.750066278, -87.554913938)"
"63",12774998,"JF334119",2022-07-27 08:40:00,"053XX W FERDINAND ST","041A","BATTERY","AGGRAVATED - HANDGUN","STREET",FALSE,FALSE,"1523",37,"04B",1140775,1902635,2022,"11/12/2022 03:46:21 PM",41.888915379,-87.758477117,"(41.888915379, -87.758477117)"
"64",12770753,"JF329239",2022-07-24 03:31:00,"117XX S UNION AVE","041A","BATTERY","AGGRAVATED - HANDGUN","RESIDENCE - YARD (FRONT / BACK)",FALSE,FALSE,"0524",34,"04B",1173578,1826902,2022,"11/12/2022 03:46:21 PM",41.68042949,-87.640253907,"(41.68042949, -87.640253907)"
"65",12767557,"JF325253",2022-07-20 07:55:00,"008XX N RIDGEWAY AVE","041A","BATTERY","AGGRAVATED - HANDGUN","STREET",FALSE,FALSE,"1112",27,"04B",1151232,1905395,2022,"11/12/2022 03:46:21 PM",41.896290444,-87.720002176,"(41.896290444, -87.720002176)"
"66",12771604,"JF330261",2022-07-25 12:20:00,"005XX S HAMLIN BLVD","041A","BATTERY","AGGRAVATED - HANDGUN","STREET",FALSE,FALSE,"1133",28,"04B",1151344,1897410,2022,"11/12/2022 03:46:21 PM",41.874376563,-87.719800496,"(41.874376563, -87.719800496)"
"67",12772782,"JF331635",2022-07-26 12:10:00,"042XX W ROSCOE ST","041A","BATTERY","AGGRAVATED - HANDGUN","APARTMENT",FALSE,FALSE,"1731",30,"04B",1147632,1922268,2022,"11/12/2022 03:46:21 PM",41.942661435,-87.732790428,"(41.942661435, -87.732790428)"
"68",12768677,"JF326614",2022-07-21 09:11:00,"003XX S KILPATRICK AVE","041A","BATTERY","AGGRAVATED - HANDGUN","SIDEWALK",FALSE,FALSE,"1131",28,"04B",1145109,1898064,2022,"11/12/2022 03:46:21 PM",41.876291236,-87.742676339,"(41.876291236, -87.742676339)"
"69",12771753,"JF330175",2022-07-24 10:34:00,"122XX S LOWE AVE","041A","BATTERY","AGGRAVATED - HANDGUN","SIDEWALK",FALSE,FALSE,"0523",34,"04B",1174191,1823775,2022,"11/12/2022 03:46:21 PM",41.671834945,-87.638102391,"(41.671834945, -87.638102391)"
"70",12770798,"JF329261",2022-07-24 04:08:00,"0000X S WESTERN AVE","041A","BATTERY","AGGRAVATED - HANDGUN","STREET",FALSE,FALSE,"1223",27,"04B",1160416,1899867,2022,"11/12/2022 03:46:21 PM",41.880936021,-87.686424086,"(41.880936021, -87.686424086)"
