"","ID","Case.Number","Date","Block","IUCR","Primary.Type","Description","Location.Description","Arrest","Domestic","Beat","Ward","FBI.Code","X.Coordinate","Y.Coordinate","Year","Updated.On","Latitude","Longitude","Location"
"430",11756112,"JC346667",2019-07-13 06:25:00,"049XX W SUPERIOR ST","041A","BATTERY","AGGRAVATED - HANDGUN","SIDEWALK","false","false",1531,37,"04B",1143347,1904516,2019,"04/14/2020 03:47:21 PM",41.894029393,-87.748984575,"(41.894029393, -87.748984575)"
"431",11689815,"JC266265",2019-05-17 12:35:00,"0000X E CERMAK RD","041A","BATTERY","AGGRAVATED - HANDGUN","SIDEWALK","false","false",131,3,"04B",1177314,1889769,2019,"08/23/2020 03:49:36 PM",41.852860198,-87.624682442,"(41.852860198, -87.624682442)"
"432",11719631,"JC302633",2019-06-11 12:03:00,"021XX W JACKSON BLVD","041A","BATTERY","AGGRAVATED - HANDGUN","STREET","false","false",1225,27,"04B",1162210,1898676,2019,"04/15/2020 03:48:26 PM",41.877630516,-87.679869946,"(41.877630516, -87.679869946)"
"433",11764021,"JC356217",2019-07-19 09:46:00,"037XX W DOUGLAS BLVD","041A","BATTERY","AGGRAVATED - HANDGUN","SIDEWALK","false","false",1011,24,"04B",1151757,1893200,2019,"04/15/2020 03:48:26 PM",41.862815737,-87.718394863,"(41.862815737, -87.718394863)"
"434",11781917,"JC377545",2019-08-04 01:20:00,"029XX W ROOSEVELT RD","041A","BATTERY","AGGRAVATED - HANDGUN","PARK PROPERTY","false","false",1022,24,"04B",1156777,1894567,2019,"08/24/2020 03:47:35 PM",41.86646678,-87.699929882,"(41.86646678, -87.699929882)"
"435",11695281,"JC272999",2019-05-21 10:36:00,"131XX S LANGLEY AVE","041A","BATTERY","AGGRAVATED: HANDGUN","CHA APARTMENT","false","false",533,9,"04B",1183247,1818200,2019,"06/30/2019 03:56:27 PM",41.656331049,-87.605130116,"(41.656331049, -87.605130116)"
"436",11683447,"JC258530",2019-05-11 03:07:00,"046XX S ELLIS AVE","041A","BATTERY","AGGRAVATED: HANDGUN","STREET","false","false",222,4,"04B",1183697,1874551,2019,"06/30/2019 03:56:27 PM",41.810954083,-87.601730829,"(41.810954083, -87.601730829)"
"437",11695304,"JC272943",2019-05-21 09:32:00,"082XX S COTTAGE GROVE AVE","041A","BATTERY","AGGRAVATED: HANDGUN","SIDEWALK","false","false",631,8,"04B",1182989,1850634,2019,"06/30/2019 03:56:27 PM",41.745340136,-87.605070606,"(41.745340136, -87.605070606)"
"438",11697937,"JC276197",2019-05-24 02:30:00,"092XX S DAUPHIN AVE","0488","BATTERY","AGGRAVATED DOMESTIC BATTERY: HANDGUN","RESIDENTIAL YARD (FRONT/BACK)","false","false",633,8,"04B",1183571,1843814,2019,"06/30/2019 03:56:27 PM",41.726611759,-87.603150096,"(41.726611759, -87.603150096)"
"439",11697712,"JC275996",2019-05-23 10:40:00,"035XX W CERMAK RD","041A","BATTERY","AGGRAVATED: HANDGUN","SIDEWALK","false","false",1024,24,"04B",1152923,1889147,2019,"06/30/2019 03:56:27 PM",41.851670836,-87.714221857,"(41.851670836, -87.714221857)"
"440",11697361,"JC275459",2019-05-23 04:14:00,"030XX N MILWAUKEE AVE","041A","BATTERY","AGGRAVATED: HANDGUN","SIDEWALK","false","false",2523,30,"04B",1151504,1919835,2019,"06/30/2019 03:56:27 PM",41.93590977,-87.718623031,"(41.93590977, -87.718623031)"
"441",11697769,"JC276040",2019-05-23 11:40:00,"084XX S CRANDON AVE","041A","BATTERY","AGGRAVATED: HANDGUN","STREET","false","false",412,8,"04B",1192977,1849365,2019,"06/30/2019 03:56:27 PM",41.741620096,-87.568514795,"(41.741620096, -87.568514795)"
"442",11698929,"JC277355",2019-05-24 09:49:00,"015XX S SAWYER AVE","041A","BATTERY","AGGRAVATED: HANDGUN","STREET","false","false",1022,24,"04B",1154948,1892230,2019,"06/30/2019 03:56:27 PM",41.860090632,-87.706706975,"(41.860090632, -87.706706975)"
"443",11696622,"JC274703",2019-05-23 03:29:00,"021XX S FAIRFIELD AVE","041A","BATTERY","AGGRAVATED: HANDGUN","SIDEWALK","false","false",1023,12,"04B",1158365,1889520,2019,"06/30/2019 03:56:27 PM",41.852584984,-87.694238077,"(41.852584984, -87.694238077)"
"444",11696499,"JC274491",2019-05-22 10:41:00,"082XX S EAST END AVE","041A","BATTERY","AGGRAVATED: HANDGUN","SIDEWALK","false","false",414,8,"04B",1189030,1850647,2019,"06/30/2019 03:56:27 PM",41.745233378,-87.582935245,"(41.745233378, -87.582935245)"
"445",11695850,"JC273541",2019-05-22 11:45:00,"112XX S ABERDEEN ST","041A","BATTERY","AGGRAVATED: HANDGUN","STREET","false","false",2234,34,"04B",1170999,1830303,2019,"06/30/2019 03:56:27 PM",41.689818934,-87.649595483,"(41.689818934, -87.649595483)"
"446",11696478,"JC274456",2019-05-22 10:05:00,"014XX N CALIFORNIA AVE","041A","BATTERY","AGGRAVATED: HANDGUN","SIDEWALK","false","false",1423,26,"04B",1157471,1909362,2019,"06/30/2019 03:56:27 PM",41.907051559,-87.696979356,"(41.907051559, -87.696979356)"
