"","DR_NO","Date Rptd","DATE OCC","TIME OCC","AREA","AREA NAME","Rpt Dist No","Part 1-2","Crm Cd","Crm Cd Desc","Vict Age","Status","Status Desc","LOCATION","LAT","LON"
"149","221111121","07/03/2022 12:00:00 AM",2022-07-03 12:00:00,"1220","11","Northeast","1127",2,753,"DISCHARGE FIREARMS/SHOTS FIRED",0,"IC","Invest Cont","BRANCH                       ST",34.1202,-118.1862
"150","221500589","02/06/2022 12:00:00 AM",2022-02-06 12:00:00,"2300","15","N Hollywood","1505",2,753,"DISCHARGE FIREARMS/SHOTS FIRED",20,"AO","Adult Other","7300    LANKERSHIM                   BL",34.203,-118.3878
"151","221911473","07/03/2022 12:00:00 AM",2022-07-02 12:00:00,"2205","19","Mission","1984",2,753,"DISCHARGE FIREARMS/SHOTS FIRED",0,"IC","Invest Cont","WILLIS                       AV",34.2283,-118.4553
"152","220910634","06/22/2022 12:00:00 AM",2022-06-22 12:00:00,"0030","09","Van Nuys","0919",2,753,"DISCHARGE FIREARMS/SHOTS FIRED",67,"AO","Adult Other","13600    BASSETT                      ST",34.1958,-118.4291
"153","221907713","04/02/2022 12:00:00 AM",2022-04-02 12:00:00,"0210","19","Mission","1967",2,753,"DISCHARGE FIREARMS/SHOTS FIRED",0,"AA","Adult Arrest","13800    BONANZA                      ST",34.2385,-118.4356
"154","221300976","09/11/2022 12:00:00 AM",2022-09-10 12:00:00,"2120","13","Newton","1375",2,753,"DISCHARGE FIREARMS/SHOTS FIRED",0,"IC","Invest Cont","56TH                         ST",33.992,-118.2547
"155","220507508","04/03/2022 12:00:00 AM",2022-04-03 12:00:00,"0530","05","Harbor","0517",2,753,"DISCHARGE FIREARMS/SHOTS FIRED",0,"IC","Invest Cont","1100 N  BANNING                      BL",33.785,-118.2583
"156","220316270","09/05/2022 12:00:00 AM",2022-09-05 12:00:00,"0900","03","Southwest","0398",2,753,"DISCHARGE FIREARMS/SHOTS FIRED",21,"IC","Invest Cont","600 W  42ND                         ST",34.0071,-118.2842
"157","221204251","01/04/2022 12:00:00 AM",2022-01-04 12:00:00,"2345","12","77th Street","1268",2,753,"DISCHARGE FIREARMS/SHOTS FIRED",0,"IC","Invest Cont","85TH                         ST",33.961,-118.2717
"158","221200503","01/02/2022 12:00:00 AM",2022-01-02 12:00:00,"1449","12","77th Street","1203",2,753,"DISCHARGE FIREARMS/SHOTS FIRED",0,"IC","Invest Cont","51ST                         ST",33.9969,-118.3089
"159","220318442","10/14/2022 12:00:00 AM",2022-10-14 12:00:00,"0545","03","Southwest","0312",2,753,"DISCHARGE FIREARMS/SHOTS FIRED",21,"IC","Invest Cont","5100    WESTHAVEN                    ST",34.0291,-118.3535
"160","221205130","01/22/2022 12:00:00 AM",2022-01-22 12:00:00,"1400","12","77th Street","1243",2,753,"DISCHARGE FIREARMS/SHOTS FIRED",0,"IC","Invest Cont","FLORENCE                     AV",33.9746,-118.3134
"161","221000790","07/17/2022 12:00:00 AM",2022-07-17 12:00:00,"2255","10","West Valley","1004",2,753,"DISCHARGE FIREARMS/SHOTS FIRED",0,"IC","Invest Cont","ETIWANDA",34.2139,-118.5317
"162","221800584","04/07/2022 12:00:00 AM",2022-04-07 12:00:00,"0200","18","Southeast","1862",2,753,"DISCHARGE FIREARMS/SHOTS FIRED",0,"IC","Invest Cont","115TH                        ST",33.9301,-118.2777
"163","220401044","08/21/2022 12:00:00 AM",2022-08-21 12:00:00,"2220","04","Hollenbeck","0407",2,753,"DISCHARGE FIREARMS/SHOTS FIRED",0,"IC","Invest Cont","MONTEREY                     RD",34.0918,-118.1887
"164","221300697","04/23/2022 12:00:00 AM",2022-04-23 12:00:00,"1120","13","Newton","1342",2,753,"DISCHARGE FIREARMS/SHOTS FIRED",0,"IC","Invest Cont","3800    WOODLAWN                     AV",34.0131,-118.2728
"165","220500815","09/25/2022 12:00:00 AM",2022-09-25 12:00:00,"1800","05","Harbor","0563",2,753,"DISCHARGE FIREARMS/SHOTS FIRED",0,"IC","Invest Cont","18TH",33.7279,-118.288
"166","221300786","06/03/2022 12:00:00 AM",2022-06-02 12:00:00,"2330","13","Newton","1375",2,753,"DISCHARGE FIREARMS/SHOTS FIRED",58,"AA","Adult Arrest","1200 E  56TH                         ST",33.992,-118.2542
"167","220510035","06/10/2022 12:00:00 AM",2022-06-10 12:00:00,"0130","05","Harbor","0522",2,753,"DISCHARGE FIREARMS/SHOTS FIRED",0,"IC","Invest Cont","MCDONALD                     ST",33.7809,-118.2712
"168","220405294","02/09/2022 12:00:00 AM",2022-02-09 12:00:00,"1843","04","Hollenbeck","0428",2,753,"DISCHARGE FIREARMS/SHOTS FIRED",0,"IC","Invest Cont","2900    BUDAU                        AV",34.0808,-118.1738
"169","222115309","10/12/2022 12:00:00 AM",2022-10-12 12:00:00,"1120","21","Topanga","2134",2,753,"DISCHARGE FIREARMS/SHOTS FIRED",35,"IC","Invest Cont","FARRALONE                    AV",34.2028,-118.6103
"170","221110692","06/22/2022 12:00:00 AM",2022-06-22 12:00:00,"0715","11","Northeast","1115",2,753,"DISCHARGE FIREARMS/SHOTS FIRED",0,"IC","Invest Cont","5000    HERMOSA                      AV",34.1377,-118.2073
"171","221407050","03/06/2022 12:00:00 AM",2022-03-05 12:00:00,"2235","14","Pacific","1458",2,753,"DISCHARGE FIREARMS/SHOTS FIRED",0,"IC","Invest Cont","4600 S  SLAUSON                      AV",33.9973,-118.4125
"172","221407265","03/09/2022 12:00:00 AM",2022-03-09 12:00:00,"2155","14","Pacific","1407",2,753,"DISCHARGE FIREARMS/SHOTS FIRED",0,"IC","Invest Cont","3600    VINTON                       AV",34.0255,-118.4063
"173","221300897","08/05/2022 12:00:00 AM",2022-08-04 12:00:00,"1940","13","Newton","1317",2,753,"DISCHARGE FIREARMS/SHOTS FIRED",0,"IC","Invest Cont","NEWTON                       ST",34.0279,-118.247
"174","221308319","03/21/2022 12:00:00 AM",2022-03-21 12:00:00,"1310","13","Newton","1342",2,753,"DISCHARGE FIREARMS/SHOTS FIRED",0,"IC","Invest Cont","SAN PEDRO                    ST",34.0137,-118.2663
"175","221216604","07/27/2022 12:00:00 AM",2022-07-27 12:00:00,"2000","12","77th Street","1205",2,753,"DISCHARGE FIREARMS/SHOTS FIRED",0,"IC","Invest Cont","51ST                         ST",33.9974,-118.2982
"176","220912393","08/09/2022 12:00:00 AM",2022-08-09 12:00:00,"1545","09","Van Nuys","0915",2,753,"DISCHARGE FIREARMS/SHOTS FIRED",58,"AA","Adult Arrest","14400    VOSE                         ST",34.1985,-118.4472
"177","221218427","08/27/2022 12:00:00 AM",2022-08-27 12:00:00,"0455","12","77th Street","1273",2,753,"DISCHARGE FIREARMS/SHOTS FIRED",0,"IC","Invest Cont","1400 W  MANCHESTER                   AV",33.96,-118.3003
"178","220800684","04/30/2022 12:00:00 AM",2022-04-30 12:00:00,"0211","08","West LA","0837",2,753,"DISCHARGE FIREARMS/SHOTS FIRED",0,"IC","Invest Cont","500    MIDVALE                      AV",34.0682,-118.4525
"179","221209861","04/13/2022 12:00:00 AM",2022-04-13 12:00:00,"1440","12","77th Street","1252",2,753,"DISCHARGE FIREARMS/SHOTS FIRED",0,"IC","Invest Cont","10TH                         AV",33.9745,-118.3221
"180","221813221","06/24/2022 12:00:00 AM",2022-06-24 12:00:00,"1100","18","Southeast","1829",2,753,"DISCHARGE FIREARMS/SHOTS FIRED",0,"IC","Invest Cont","103RD                        ST",33.9431,-118.2318
"181","221606710","03/26/2022 12:00:00 AM",2022-03-26 12:00:00,"1445","16","Foothill","1612",2,753,"DISCHARGE FIREARMS/SHOTS FIRED",0,"IC","Invest Cont","11300    HERRICK                      AV",34.2755,-118.4194
"182","220122070","10/08/2022 12:00:00 AM",2022-10-08 12:00:00,"0150","01","Central","0181",2,753,"DISCHARGE FIREARMS/SHOTS FIRED",0,"IC","Invest Cont","12TH                         ST",34.0421,-118.2673
"183","221810294","05/05/2022 12:00:00 AM",2022-05-05 12:00:00,"1340","18","Southeast","1805",2,753,"DISCHARGE FIREARMS/SHOTS FIRED",0,"IC","Invest Cont","SAN PEDRO",33.9556,-118.2695
"184","221207682","03/09/2022 12:00:00 AM",2022-03-09 12:00:00,"0025","12","77th Street","1231",2,753,"DISCHARGE FIREARMS/SHOTS FIRED",0,"IC","Invest Cont","VERDUN                       AV",33.9889,-118.3461
"185","221412725","06/21/2022 12:00:00 AM",2022-06-21 12:00:00,"0019","14","Pacific","1463",2,753,"DISCHARGE FIREARMS/SHOTS FIRED",0,"IC","Invest Cont","12500 W  JEFFERSON                    BL",33.9803,-118.4117
"186","222006031","02/16/2022 12:00:00 AM",2022-02-16 12:00:00,"0130","20","Olympic","2055",2,753,"DISCHARGE FIREARMS/SHOTS FIRED",0,"IC","Invest Cont","3100    SAN MARINO                   ST",34.0545,-118.2975
"187","220406106","03/05/2022 12:00:00 AM",2022-03-05 12:00:00,"2353","04","Hollenbeck","0497",2,753,"DISCHARGE FIREARMS/SHOTS FIRED",0,"IC","Invest Cont","1300    VELASCO                      ST",34.0188,-118.2051
"188","221208384","03/20/2022 12:00:00 AM",2022-03-20 12:00:00,"2015","12","77th Street","1259",2,753,"DISCHARGE FIREARMS/SHOTS FIRED",0,"IC","Invest Cont","76TH                         PL",33.9703,-118.2564
"189","221218926","09/03/2022 12:00:00 AM",2022-09-03 12:00:00,"1715","12","77th Street","1268",2,753,"DISCHARGE FIREARMS/SHOTS FIRED",0,"IC","Invest Cont","100 W  85TH                         ST",33.9615,-118.2739
"190","222012433","07/19/2022 12:00:00 AM",2022-07-19 12:00:00,"1730","20","Olympic","2004",2,753,"DISCHARGE FIREARMS/SHOTS FIRED",0,"IC","Invest Cont","300 N  HOBART                       BL",34.0763,-118.3054
"191","221213174","06/06/2022 12:00:00 AM",2022-06-06 12:00:00,"0145","12","77th Street","1251",2,753,"DISCHARGE FIREARMS/SHOTS FIRED",0,"IC","Invest Cont","3400 W  FLORENCE                     AV",33.9745,-118.3309
"192","221208106","03/15/2022 12:00:00 AM",2022-03-15 12:00:00,"2110","12","77th Street","1257",2,753,"DISCHARGE FIREARMS/SHOTS FIRED",0,"IC","Invest Cont","900 W  76TH                         ST",33.9707,-118.2897
"193","221200755","07/24/2022 12:00:00 AM",2022-07-24 12:00:00,"0057","12","77th Street","1249",2,753,"DISCHARGE FIREARMS/SHOTS FIRED",0,"IC","Invest Cont","6900 S  FIGUEROA                     ST",33.9774,-118.2827
"194","220107216","02/25/2022 12:00:00 AM",2022-02-25 12:00:00,"0130","01","Central","0174",2,753,"DISCHARGE FIREARMS/SHOTS FIRED",0,"AA","Adult Arrest","700 S  SPRING                       ST",34.0445,-118.2523
"195","221214363","06/22/2022 12:00:00 AM",2022-06-22 12:00:00,"0200","12","77th Street","1213",2,753,"DISCHARGE FIREARMS/SHOTS FIRED",36,"IC","Invest Cont","WESTERN                      AV",33.9906,-118.3089
"196","220617305","10/10/2022 12:00:00 AM",2022-10-10 12:00:00,"1910","06","Hollywood","0679",2,753,"DISCHARGE FIREARMS/SHOTS FIRED",0,"IC","Invest Cont","5100    SANTA MONICA                 BL",34.0908,-118.3009
"197","221611878","08/31/2022 12:00:00 AM",2022-08-29 12:00:00,"2240","16","Foothill","1693",2,753,"DISCHARGE FIREARMS/SHOTS FIRED",0,"IC","Invest Cont","7800    BELLINGHAM                   AV",34.2121,-118.3988
"198","220316895","09/16/2022 12:00:00 AM",2022-09-16 12:00:00,"0800","03","Southwest","0355",2,753,"DISCHARGE FIREARMS/SHOTS FIRED",21,"IC","Invest Cont","3400    CIMARRON                     ST",34.0256,-118.3156
"199","221908078","04/10/2022 12:00:00 AM",2022-04-10 12:00:00,"1915","19","Mission","1987",2,753,"DISCHARGE FIREARMS/SHOTS FIRED",46,"IC","Invest Cont","8900    MOONBEAM                     AV",34.2315,-118.4429
"200","221100548","02/05/2022 12:00:00 AM",2022-02-04 12:00:00,"1746","11","Northeast","1134",2,753,"DISCHARGE FIREARMS/SHOTS FIRED",0,"IC","Invest Cont","EDWARD                       AV",34.1133,-118.2411
"201","221509245","05/05/2022 12:00:00 AM",2022-05-05 12:00:00,"1740","15","N Hollywood","1504",2,753,"DISCHARGE FIREARMS/SHOTS FIRED",0,"IC","Invest Cont","12000    SATICOY                      ST",34.2085,-118.3944
"202","221401208","10/10/2022 12:00:00 AM",2022-10-10 12:00:00,"2205","14","Pacific","1446",2,753,"DISCHARGE FIREARMS/SHOTS FIRED",0,"IC","Invest Cont","4100    GRANDVIEW                    BL",34.0022,-118.4275
"203","221011293","07/06/2022 12:00:00 AM",2022-07-02 12:00:00,"1300","10","West Valley","1018",2,753,"DISCHARGE FIREARMS/SHOTS FIRED",0,"IC","Invest Cont","15700    SATICOY                      ST",34.2085,-118.4749
"204","220512493","08/14/2022 12:00:00 AM",2022-08-14 12:00:00,"0120","05","Harbor","0503",2,753,"DISCHARGE FIREARMS/SHOTS FIRED",0,"IC","Invest Cont","1000    253RD                        ST",33.7947,-118.2928
"205","220512071","08/03/2022 12:00:00 AM",2022-08-03 12:00:00,"1220","05","Harbor","0501",2,753,"DISCHARGE FIREARMS/SHOTS FIRED",0,"IC","Invest Cont","182ND                        ST",33.8698,-118.2858
"206","222016801","10/05/2022 12:00:00 AM",2022-10-05 12:00:00,"1900","20","Olympic","2091",2,753,"DISCHARGE FIREARMS/SHOTS FIRED",0,"IC","Invest Cont","21ST",34.0381,-118.3133
"207","220400628","03/22/2022 12:00:00 AM",2022-03-22 12:00:00,"2140","04","Hollenbeck","0497",2,753,"DISCHARGE FIREARMS/SHOTS FIRED",0,"IC","Invest Cont","CAMULOS                      ST",34.0217,-118.2161
"208","221315790","08/10/2022 12:00:00 AM",2022-08-10 12:00:00,"0330","13","Newton","1341",2,753,"DISCHARGE FIREARMS/SHOTS FIRED",0,"AO","Adult Other","3800 S  GRAND                        AV",34.0152,-118.2794
"209","220306845","03/02/2022 12:00:00 AM",2022-03-02 12:00:00,"1746","03","Southwest","0312",2,753,"DISCHARGE FIREARMS/SHOTS FIRED",67,"AA","Adult Arrest","2900 S  COCHRAN                      AV",34.0276,-118.3603
"210","221300646","04/01/2022 12:00:00 AM",2022-03-31 12:00:00,"1525","13","Newton","1372",2,753,"DISCHARGE FIREARMS/SHOTS FIRED",30,"AA","Adult Arrest","200 E  53RD                         ST",33.9942,-118.2716
"211","221107935","04/16/2022 12:00:00 AM",2022-04-16 12:00:00,"0215","11","Northeast","1145",2,753,"DISCHARGE FIREARMS/SHOTS FIRED",0,"IC","Invest Cont","2300    GLENDALE                     BL",34.0971,-118.2592
"212","221308901","03/31/2022 12:00:00 AM",2022-03-31 12:00:00,"2330","13","Newton","1333",2,753,"DISCHARGE FIREARMS/SHOTS FIRED",0,"IC","Invest Cont","900 E  27TH                         ST",34.019,-118.258
"213","220508067","04/17/2022 12:00:00 AM",2022-04-16 12:00:00,"2200","05","Harbor","0524",2,753,"DISCHARGE FIREARMS/SHOTS FIRED",0,"IC","Invest Cont","HAWAIIAN                     AV",33.7792,-118.2768
"214","221816915","09/06/2022 12:00:00 AM",2022-09-06 12:00:00,"0320","18","Southeast","1826",2,753,"DISCHARGE FIREARMS/SHOTS FIRED",0,"IC","Invest Cont","9500    DEFIANCE                     AV",33.9507,-118.2453
"215","220512063","08/02/2022 12:00:00 AM",2022-07-28 12:00:00,"1800","05","Harbor","0505",2,753,"DISCHARGE FIREARMS/SHOTS FIRED",0,"IC","Invest Cont","19600    HAMILTON                     AV",33.8534,-118.2861
"216","220504745","01/21/2022 12:00:00 AM",2022-01-21 12:00:00,"2205","05","Harbor","0504",2,753,"DISCHARGE FIREARMS/SHOTS FIRED",0,"IC","Invest Cont","207TH",33.8429,-118.304
"217","221206408","02/15/2022 12:00:00 AM",2022-02-15 12:00:00,"0435","12","77th Street","1233",2,753,"DISCHARGE FIREARMS/SHOTS FIRED",0,"IC","Invest Cont","1600 W  60TH                         ST",33.9859,-118.3046
"218","221312950","06/15/2022 12:00:00 AM",2022-06-15 12:00:00,"1515","13","Newton","1372",2,753,"DISCHARGE FIREARMS/SHOTS FIRED",0,"IC","Invest Cont","200 E  58TH                         ST",33.9898,-118.2731
"219","220207827","03/25/2022 12:00:00 AM",2022-03-25 12:00:00,"0250","02","Rampart","0205",2,753,"DISCHARGE FIREARMS/SHOTS FIRED",0,"IC","Invest Cont","DILLON",34.0826,-118.2754
"220","221907345","03/22/2022 12:00:00 AM",2022-03-22 12:00:00,"1000","19","Mission","1987",2,753,"DISCHARGE FIREARMS/SHOTS FIRED",0,"IC","Invest Cont","8500    MINUET                       PL",34.2252,-118.4336
"221","221000660","04/26/2022 12:00:00 AM",2022-04-26 12:00:00,"0125","10","West Valley","1006",2,753,"DISCHARGE FIREARMS/SHOTS FIRED",0,"IC","Invest Cont","ENCINO                       BL",34.2172,-118.5143
"222","220405465","02/13/2022 12:00:00 AM",2022-02-13 12:00:00,"2330","04","Hollenbeck","0422",2,753,"DISCHARGE FIREARMS/SHOTS FIRED",0,"IC","Invest Cont","MANITOU",34.0719,-118.2156
"223","221319148","10/10/2022 12:00:00 AM",2022-10-10 12:00:00,"2221","13","Newton","1367",2,753,"DISCHARGE FIREARMS/SHOTS FIRED",0,"IC","Invest Cont","4400    LONG BEACH                   AV",34.0039,-118.2431
"224","220707202","03/25/2022 12:00:00 AM",2022-03-25 12:00:00,"0200","07","Wilshire","0777",2,753,"DISCHARGE FIREARMS/SHOTS FIRED",0,"IC","Invest Cont","1800    WEST                         BL",34.0408,-118.3369
"225","220300612","04/04/2022 12:00:00 AM",2022-04-04 12:00:00,"2140","03","Southwest","0397",2,753,"DISCHARGE FIREARMS/SHOTS FIRED",21,"IC","Invest Cont","1200 W  41ST                         PL",34.0082,-118.2959
"226","221611386","08/12/2022 12:00:00 AM",2022-08-12 12:00:00,"1830","16","Foothill","1643",2,753,"DISCHARGE FIREARMS/SHOTS FIRED",0,"IC","Invest Cont","10600    EL DORADO                    AV",34.2629,-118.4217
"227","220200691","04/17/2022 12:00:00 AM",2022-04-17 12:00:00,"1855","02","Rampart","0246",2,753,"DISCHARGE FIREARMS/SHOTS FIRED",0,"IC","Invest Cont","600 S  ALVARADO                     ST",34.0595,-118.2749
"228","220800805","06/25/2022 12:00:00 AM",2022-06-24 12:00:00,"2100","08","West LA","0886",2,753,"DISCHARGE FIREARMS/SHOTS FIRED",66,"IC","Invest Cont","2900    CLUB                         DR",34.0386,-118.4021
"229","220119521","08/31/2022 12:00:00 AM",2022-08-31 12:00:00,"1922","01","Central","0148",2,753,"DISCHARGE FIREARMS/SHOTS FIRED",0,"IC","Invest Cont","5TH                          ST",34.043,-118.242
"230","221318394","09/28/2022 12:00:00 AM",2022-09-28 12:00:00,"0811","13","Newton","1309",2,753,"DISCHARGE FIREARMS/SHOTS FIRED",0,"IC","Invest Cont","2400 S  ALAMEDA                      ST",34.0153,-118.2396
"231","220305974","02/13/2022 12:00:00 AM",2022-02-13 12:00:00,"2345","03","Southwest","0379",2,753,"DISCHARGE FIREARMS/SHOTS FIRED",21,"IC","Invest Cont","1000 W  39TH                         PL",34.0142,-118.2915
"232","220100819","08/06/2022 12:00:00 AM",2022-08-06 12:00:00,"2242","01","Central","0192",2,753,"DISCHARGE FIREARMS/SHOTS FIRED",0,"IC","Invest Cont","GRAND",34.0363,-118.2672
"233","220500566","02/06/2022 12:00:00 AM",2022-02-06 12:00:00,"2201","05","Harbor","0517",2,753,"DISCHARGE FIREARMS/SHOTS FIRED",0,"IC","Invest Cont","1200    LAKME                        AV",33.7869,-118.2599
"234","221408229","03/25/2022 12:00:00 AM",2022-03-25 12:00:00,"1730","14","Pacific","1431",2,753,"DISCHARGE FIREARMS/SHOTS FIRED",0,"IC","Invest Cont","300    MILDRED                      AV",33.9868,-118.469
"235","220607289","03/12/2022 12:00:00 AM",2022-03-12 12:00:00,"0145","06","Hollywood","0669",2,753,"DISCHARGE FIREARMS/SHOTS FIRED",0,"IC","Invest Cont","5400    SANTA MONICA                 BL",34.0929,-118.3048
"236","221818574","10/05/2022 12:00:00 AM",2022-10-05 12:00:00,"2020","18","Southeast","1844",2,753,"DISCHARGE FIREARMS/SHOTS FIRED",0,"IC","Invest Cont","112TH                        ST",33.9328,-118.2556
"237","221300641","03/27/2022 12:00:00 AM",2022-03-27 12:00:00,"1515","13","Newton","1351",2,753,"DISCHARGE FIREARMS/SHOTS FIRED",0,"IC","Invest Cont","42ND                         PL",34.0065,-118.2784
"238","220314385","07/29/2022 12:00:00 AM",2022-07-29 12:00:00,"1445","03","Southwest","0363",2,753,"DISCHARGE FIREARMS/SHOTS FIRED",21,"IC","Invest Cont","4100    MARLTON                      AV",34.0104,-118.3398
"239","220604852","01/21/2022 12:00:00 AM",2022-01-20 12:00:00,"2350","06","Hollywood","0643",2,753,"DISCHARGE FIREARMS/SHOTS FIRED",0,"AO","Adult Other","FORMOSA",34.098,-118.3468
"240","220109596","04/04/2022 12:00:00 AM",2022-04-04 12:00:00,"1435","01","Central","0155",2,753,"DISCHARGE FIREARMS/SHOTS FIRED",0,"IC","Invest Cont","500 S  LOS ANGELES                  ST",34.0461,-118.2475
"241","222007128","03/14/2022 12:00:00 AM",2022-03-14 12:00:00,"1300","20","Olympic","2076",2,753,"DISCHARGE FIREARMS/SHOTS FIRED",0,"IC","Invest Cont","BERENDO",34.0473,-118.2936
"242","220607120","03/08/2022 12:00:00 AM",2022-03-08 12:00:00,"1445","06","Hollywood","0668",2,753,"DISCHARGE FIREARMS/SHOTS FIRED",0,"IC","Invest Cont","5500    VIRGINIA                     AV",34.0918,-118.3092
