"","INCIDENT_KEY","OCCUR_DATE","OCCUR_TIME","BORO","PRECINCT","JURISDICTION_CODE","STATISTICAL_MURDER_FLAG","VIC_AGE_GROUP","VIC_SEX","VIC_RACE","X_COORD_CD","Y_COORD_CD","Latitude","Longitude","Lon_Lat"
"629",200365038,2019-07-28,20:14:00,"BRONX",46,0,FALSE,"25-44","M","BLACK",1006990.6875,249486.609375,40.851437047,-73.917801508,"POINT (-73.91780150799997 40.85143704700005)"
"630",200331333,2019-07-27,22:53:00,"BROOKLYN",73,0,FALSE,"25-44","M","BLACK",1011786,178738,40.6572366130001,-73.900757798,"POINT (-73.90075779799997 40.657236613000066)"
"631",201613991,2019-08-26,15:47:00,"QUEENS",113,0,TRUE,"18-24","M","BLACK",1051797.875,184226.46875,40.6720863690001,-73.7564948679999,"POINT (-73.75649486799995 40.672086369000056)"
"632",202807633,2019-09-23,00:23:00,"BRONX",50,0,FALSE,"25-44","M","WHITE HISPANIC",1011047,256269.328125,40.870042181,-73.9031121949999,"POINT (-73.90311219499995 40.87004218100003)"
"633",202853369,2019-09-24,16:35:00,"BRONX",46,0,FALSE,"<18","M","BLACK",1006938,248232.421875,40.8479948090001,-73.9179961999999,"POINT (-73.91799619999995 40.847994809000056)"
"634",203259385,2019-10-03,21:39:00,"BROOKLYN",79,0,TRUE,"18-24","M","BLACK",998135.8125,187813.453125,40.6821786310001,-73.9499362989999,"POINT (-73.94993629899994 40.682178631000056)"
"635",201982886,2019-09-04,00:48:00,"BRONX",42,0,FALSE,"25-44","M","BLACK",1007582.1875,239641.546875,40.824413672,-73.915697682,"POINT (-73.91569768199997 40.82441367200005)"
"636",203042901,2019-09-27,23:29:00,"BROOKLYN",75,2,FALSE,"45-64","M","BLACK",1019083.5,183992.78125,40.671634113,-73.8744294589999,"POINT (-73.87442945899994 40.67163411300004)"
"637",196630584,2019-04-30,18:29:00,"MANHATTAN",25,2,FALSE,"18-24","M","BLACK",1002228.125,234677.0625,40.8108000770001,-73.9350562499999,"POINT (-73.93505624999995 40.81080007700007)"
"638",201436770,2019-08-21,03:42:00,"BROOKLYN",73,0,FALSE,"25-44","M","BLACK",1006548,180674,40.6625652450001,-73.919629879,"POINT (-73.91962987899996 40.66256524500005)"
"639",197016008,2019-05-09,01:32:00,"MANHATTAN",1,0,FALSE,"25-44","M","BLACK HISPANIC",982761.5,204594.59375,40.7282496820001,-74.005371928,"POINT (-74.00537192799999 40.72824968200007)"
"640",193939354,2019-02-23,00:27:00,"MANHATTAN",32,0,FALSE,"25-44","M","BLACK",1001775,235861,40.814050566,-73.9366900529999,"POINT (-73.93669005299995 40.81405056600005)"
"641",194817574,2019-03-15,11:50:00,"QUEENS",112,1,FALSE,"18-24","M","BLACK",1029239,201142,40.718658885,-73.83770523,"POINT (-73.83770522999998 40.718658885000025)"
"642",193517125,2019-02-12,18:10:00,"QUEENS",102,0,TRUE,"UNKNOWN","M","WHITE",1032234,192287,40.694338305,-73.826964,"POINT (-73.82696399999998 40.69433830500003)"
"643",200994114,2019-08-11,04:20:00,"BROOKLYN",75,0,FALSE,"18-24","M","BLACK",1019671.25,180297.234375,40.6614883340001,-73.872330086,"POINT (-73.87233008599998 40.66148833400007)"
"644",202804358,2019-09-23,17:48:00,"BROOKLYN",70,0,FALSE,"45-64","F","BLACK",995849,172756.6875,40.6408544220001,-73.958207274,"POINT (-73.95820727399996 40.640854422000075)"
"645",199174260,2019-07-01,17:58:00,"MANHATTAN",33,0,FALSE,"25-44","M","WHITE HISPANIC",1001602.0625,246487.03125,40.843216323,-73.937287332,"POINT (-73.93728733199998 40.84321632300004)"
"646",198552996,2019-06-14,02:45:00,"BRONX",44,0,FALSE,"25-44","M","WHITE HISPANIC",1007338,246716,40.8438316410001,-73.9165556299999,"POINT (-73.91655562999995 40.843831641000065)"
"647",197953471,2019-06-01,13:45:00,"BROOKLYN",77,0,FALSE,"18-24","M","BLACK",996216.1875,184738.234375,40.673740653,-73.956862945,"POINT (-73.95686294499995 40.67374065300004)"
"648",201765788,2019-08-29,20:45:00,"QUEENS",103,0,FALSE,"25-44","M","BLACK",1040339,195947,40.7043364700001,-73.7977057809999,"POINT (-73.79770578099993 40.704336470000044)"
"649",197691091,2019-05-27,18:53:00,"BROOKLYN",75,0,TRUE,"25-44","M","BLACK",1021254,181801,40.6656093610001,-73.866617022,"POINT (-73.86661702199996 40.665609361000065)"
"650",201141629,2019-08-14,23:14:00,"BROOKLYN",83,0,FALSE,"25-44","M","BLACK",1003182.5625,192858.59375,40.6960170250001,-73.9317261259999,"POINT (-73.93172612599994 40.69601702500006)"
"651",203211776,2019-10-03,00:38:00,"MANHATTAN",33,0,TRUE,"25-44","M","WHITE HISPANIC",1001505.1875,245382.5,40.840184897,-73.9376402999999,"POINT (-73.93764029999994 40.84018489700003)"
